Traffic Intensity (rho),Lambda (pkts/sec),Generated,Delivered,Dropped,Drop Probability,Avg Queueing Delay (s),Avg End-to-End Delay (s),Max Queue Occupancy
0.10,12.5000,100000,100000,0,0.000000,0.000455,0.012355,5
0.20,25.0000,100000,100000,0,0.000000,0.001029,0.012929,6
0.30,37.5000,100000,100000,0,0.000000,0.001743,0.013643,6
0.40,50.0000,100000,100000,0,0.000000,0.002769,0.014669,8
0.50,62.5000,100000,100000,0,0.000000,0.004134,0.016034,12
0.60,75.0000,100000,100000,0,0.000000,0.006231,0.018131,12
0.70,87.5000,100000,100000,0,0.000000,0.009460,0.021360,18
0.80,100.0000,100000,99989,11,0.000110,0.018206,0.030106,20
0.90,112.5000,100000,99791,209,0.002090,0.037894,0.049794,20
0.95,118.7500,100000,98989,1011,0.010110,0.056614,0.068514,20
1.00,125.0000,100000,96812,3188,0.031880,0.082655,0.094555,20
1.10,137.5000,100000,89483,10517,0.105170,0.120179,0.132079,20
1.20,150.0000,100000,82630,17370,0.173700,0.133879,0.145779,20
